date,maxtemp,mintemp,sunhour,totalsnow
2017-04-16,20,8,13.8,0
2017-04-17,16,7,12.3,0
2017-04-18,14,3,11.5,0
2017-04-19,12,0,13.5,0
2017-04-20,14,-1,13.9,0
2017-04-13,21,9,13.7,0
2017-04-14,21,8,13.7,0
2017-04-15,19,10,11.3,0
2017-04-16,20,8,13.8,0
2017-04-17,16,7,12.3,0
2017-04-18,14,3,11.5,0
2017-04-19,12,0,13.5,0
2017-04-20,14,-1,13.9,0
2017-04-21,15,1,13.9,0
2017-04-14,21,8,13.7,0
2017-04-15,19,10,11.3,0
2017-04-16,20,8,13.8,0
2017-04-17,16,7,12.3,0
2017-04-18,14,3,11.5,0
2017-04-19,12,0,13.5,0
2017-04-20,14,-1,13.9,0
2017-04-21,15,1,13.9,0
2017-04-22,19,1,13.9,0
2017-04-15,19,10,11.3,0
2017-04-16,20,8,13.8,0
2017-04-17,16,7,12.3,0
2017-04-18,14,3,11.5,0
2017-04-19,12,0,13.5,0
2017-04-20,14,-1,13.9,0
2017-04-21,15,1,13.9,0
2017-04-22,19,1,13.9,0
2017-04-23,19,4,13.8,0
2017-04-16,20,8,13.8,0
2017-04-17,16,7,12.3,0
2017-04-18,14,3,11.5,0
2017-04-19,12,0,13.5,0
2017-04-20,14,-1,13.9,0
2017-04-21,15,1,13.9,0
2017-04-22,19,1,13.9,0
2017-04-23,19,4,13.8,0
2017-04-24,16,8,11.8,0
2017-04-17,16,7,12.3,0
2017-04-18,14,3,11.5,0
2017-04-19,12,0,13.5,0
2017-04-20,14,-1,13.9,0
2017-04-21,15,1,13.9,0
2017-04-22,19,1,13.9,0
2017-04-23,19,4,13.8,0
2017-04-24,16,8,11.8,0
2017-04-25,16,8,11.8,0
2017-04-18,14,3,11.5,0
2017-04-19,12,0,13.5,0
2017-04-20,14,-1,13.9,0
2017-04-21,15,1,13.9,0
2017-04-22,19,1,13.9,0
2017-04-23,19,4,13.8,0
2017-04-24,16,8,11.8,0
2017-04-25,16,8,11.8,0
2017-04-26,12,9,10.5,0
2017-04-19,12,0,13.5,0
2017-04-20,14,-1,13.9,0
2017-04-21,15,1,13.9,0
2017-04-22,19,1,13.9,0
2017-04-23,19,4,13.8,0
2017-04-24,16,8,11.8,0
2017-04-25,16,8,11.8,0
2017-04-26,12,9,10.5,0
2017-04-27,15,9,10.5,0
2017-04-20,14,-1,13.9,0
2017-04-21,15,1,13.9,0
2017-04-22,19,1,13.9,0
2017-04-23,19,4,13.8,0
2017-04-24,16,8,11.8,0
2017-04-25,16,8,11.8,0
2017-04-26,12,9,10.5,0
2017-04-27,15,9,10.5,0
2017-04-28,14,5,13.5,0
2017-04-21,15,1,13.9,0
2017-04-22,19,1,13.9,0
2017-04-23,19,4,13.8,0
2017-04-24,16,8,11.8,0
2017-04-25,16,8,11.8,0
2017-04-26,12,9,10.5,0
2017-04-27,15,9,10.5,0
2017-04-28,14,5,13.5,0
2017-04-29,16,2,14.0,0
2017-04-22,19,1,13.9,0
2017-04-23,19,4,13.8,0
2017-04-24,16,8,11.8,0
2017-04-25,16,8,11.8,0
2017-04-26,12,9,10.5,0
2017-04-27,15,9,10.5,0
2017-04-28,14,5,13.5,0
2017-04-29,16,2,14.0,0
2017-04-30,16,2,14.0,0
2017-04-23,19,4,13.8,0
2017-04-24,16,8,11.8,0
2017-04-25,16,8,11.8,0
2017-04-26,12,9,10.5,0
2017-04-27,15,9,10.5,0
2017-04-28,14,5,13.5,0
2017-04-29,16,2,14.0,0
2017-04-30,16,2,14.0,0
2017-05-01,12,6,11.0,0
2017-04-24,16,8,11.8,0
2017-04-25,16,8,11.8,0
2017-04-26,12,9,10.5,0
2017-04-27,15,9,10.5,0
2017-04-28,14,5,13.5,0
2017-04-29,16,2,14.0,0
2017-04-30,16,2,14.0,0
2017-05-01,12,6,11.0,0
2017-05-02,16,3,13.3,0
2017-04-25,16,8,11.8,0
2017-04-26,12,9,10.5,0
2017-04-27,15,9,10.5,0
2017-04-28,14,5,13.5,0
2017-04-29,16,2,14.0,0
2017-04-30,16,2,14.0,0
2017-05-01,12,6,11.0,0
2017-05-02,16,3,13.3,0
2017-05-03,14,7,10.5,0
2017-04-26,12,9,10.5,0
2017-04-27,15,9,10.5,0
2017-04-28,14,5,13.5,0
2017-04-29,16,2,14.0,0
2017-04-30,16,2,14.0,0
2017-05-01,12,6,11.0,0
2017-05-02,16,3,13.3,0
2017-05-03,14,7,10.5,0
2017-05-04,15,5,11.3,0
2017-04-27,15,9,10.5,0
2017-04-28,14,5,13.5,0
2017-04-29,16,2,14.0,0
2017-04-30,16,2,14.0,0
2017-05-01,12,6,11.0,0
2017-05-02,16,3,13.3,0
2017-05-03,14,7,10.5,0
2017-05-04,15,5,11.3,0
2017-05-05,18,3,14.0,0
2017-04-28,14,5,13.5,0
2017-04-29,16,2,14.0,0
2017-04-30,16,2,14.0,0
2017-05-01,12,6,11.0,0
2017-05-02,16,3,13.3,0
2017-05-03,14,7,10.5,0
2017-05-04,15,5,11.3,0
2017-05-05,18,3,14.0,0
2017-05-06,17,6,12.0,0
2017-04-29,16,2,14.0,0
2017-04-30,16,2,14.0,0
2017-05-01,12,6,11.0,0
2017-05-02,16,3,13.3,0
2017-05-03,14,7,10.5,0
2017-05-04,15,5,11.3,0
2017-05-05,18,3,14.0,0
2017-05-06,17,6,12.0,0
2017-05-07,16,7,12.0,0
2017-04-30,16,2,14.0,0
2017-05-01,12,6,11.0,0
2017-05-02,16,3,13.3,0
2017-05-03,14,7,10.5,0
2017-05-04,15,5,11.3,0
2017-05-05,18,3,14.0,0
2017-05-06,17,6,12.0,0
2017-05-07,16,7,12.0,0
2017-05-08,20,7,12.8,0
2017-05-01,12,6,11.0,0
2017-05-02,16,3,13.3,0
2017-05-03,14,7,10.5,0
2017-05-04,15,5,11.3,0
2017-05-05,18,3,14.0,0
2017-05-06,17,6,12.0,0
2017-05-07,16,7,12.0,0
2017-05-08,20,7,12.8,0
2017-05-09,18,7,12.8,0
2017-05-02,16,3,13.3,0
2017-05-03,14,7,10.5,0
2017-05-04,15,5,11.3,0
2017-05-05,18,3,14.0,0
2017-05-06,17,6,12.0,0
2017-05-07,16,7,12.0,0
2017-05-08,20,7,12.8,0
2017-05-09,18,7,12.8,0
2017-05-10,16,8,14.3,0
2017-05-03,14,7,10.5,0
2017-05-04,15,5,11.3,0
2017-05-05,18,3,14.0,0
2017-05-06,17,6,12.0,0
2017-05-07,16,7,12.0,0
2017-05-08,20,7,12.8,0
2017-05-09,18,7,12.8,0
2017-05-10,16,8,14.3,0
2017-05-11,18,8,12.3,0
2017-05-04,15,5,11.3,0
2017-05-05,18,3,14.0,0
2017-05-06,17,6,12.0,0
2017-05-07,16,7,12.0,0
2017-05-08,20,7,12.8,0
2017-05-09,18,7,12.8,0
2017-05-10,16,8,14.3,0
2017-05-11,18,8,12.3,0
2017-05-12,19,10,13.0,0
2017-05-05,18,3,14.0,0
2017-05-06,17,6,12.0,0
2017-05-07,16,7,12.0,0
2017-05-08,20,7,12.8,0
2017-05-09,18,7,12.8,0
2017-05-10,16,8,14.3,0
2017-05-11,18,8,12.3,0
2017-05-12,19,10,13.0,0
2017-05-13,21,10,14.9,0
2017-05-06,17,6,12.0,0
2017-05-07,16,7,12.0,0
2017-05-08,20,7,12.8,0
2017-05-09,18,7,12.8,0
2017-05-10,16,8,14.3,0
2017-05-11,18,8,12.3,0
2017-05-12,19,10,13.0,0
2017-05-13,21,10,14.9,0
2017-05-14,21,9,14.5,0
2017-05-07,16,7,12.0,0
2017-05-08,20,7,12.8,0
2017-05-09,18,7,12.8,0
2017-05-10,16,8,14.3,0
2017-05-11,18,8,12.3,0
2017-05-12,19,10,13.0,0
2017-05-13,21,10,14.9,0
2017-05-14,21,9,14.5,0
2017-05-15,23,9,14.8,0
2017-05-08,20,7,12.8,0
2017-05-09,18,7,12.8,0
2017-05-10,16,8,14.3,0
2017-05-11,18,8,12.3,0
2017-05-12,19,10,13.0,0
2017-05-13,21,10,14.9,0
2017-05-14,21,9,14.5,0
2017-05-15,23,9,14.8,0
2017-05-16,24,9,15.0,0
2017-05-09,18,7,12.8,0
2017-05-10,16,8,14.3,0
2017-05-11,18,8,12.3,0
2017-05-12,19,10,13.0,0
2017-05-13,21,10,14.9,0
2017-05-14,21,9,14.5,0
2017-05-15,23,9,14.8,0
2017-05-16,24,9,15.0,0
2017-05-17,24,10,15.0,0
2017-05-10,16,8,14.3,0
2017-05-11,18,8,12.3,0
2017-05-12,19,10,13.0,0
2017-05-13,21,10,14.9,0
2017-05-14,21,9,14.5,0
2017-05-15,23,9,14.8,0
2017-05-16,24,9,15.0,0
2017-05-17,24,10,15.0,0
2017-05-18,22,13,14.8,0
2017-05-11,18,8,12.3,0
2017-05-12,19,10,13.0,0
2017-05-13,21,10,14.9,0
2017-05-14,21,9,14.5,0
2017-05-15,23,9,14.8,0
2017-05-16,24,9,15.0,0
2017-05-17,24,10,15.0,0
2017-05-18,22,13,14.8,0
2017-05-19,19,13,11.5,0
2017-05-12,19,10,13.0,0
2017-05-13,21,10,14.9,0
2017-05-14,21,9,14.5,0
2017-05-15,23,9,14.8,0
2017-05-16,24,9,15.0,0
2017-05-17,24,10,15.0,0
2017-05-18,22,13,14.8,0
2017-05-19,19,13,11.5,0
2017-05-20,21,10,15.0,0
2017-05-13,21,10,14.9,0
2017-05-14,21,9,14.5,0
2017-05-15,23,9,14.8,0
2017-05-16,24,9,15.0,0
2017-05-17,24,10,15.0,0
2017-05-18,22,13,14.8,0
2017-05-19,19,13,11.5,0
2017-05-20,21,10,15.0,0
2017-05-21,24,8,15.0,0
2017-05-14,21,9,14.5,0
2017-05-15,23,9,14.8,0
2017-05-16,24,9,15.0,0
2017-05-17,24,10,15.0,0
2017-05-18,22,13,14.8,0
2017-05-19,19,13,11.5,0
2017-05-20,21,10,15.0,0
2017-05-21,24,8,15.0,0
2017-05-22,24,9,15.0,0
2017-05-15,23,9,14.8,0
2017-05-16,24,9,15.0,0
2017-05-17,24,10,15.0,0
2017-05-18,22,13,14.8,0
2017-05-19,19,13,11.5,0
2017-05-20,21,10,15.0,0
2017-05-21,24,8,15.0,0
2017-05-22,24,9,15.0,0
2017-05-23,26,10,15.0,0
2017-05-16,24,9,15.0,0
2017-05-17,24,10,15.0,0
2017-05-18,22,13,14.8,0
2017-05-19,19,13,11.5,0
2017-05-20,21,10,15.0,0
2017-05-21,24,8,15.0,0
2017-05-22,24,9,15.0,0
2017-05-23,26,10,15.0,0
2017-05-24,27,12,15.0,0
2017-05-17,24,10,15.0,0
2017-05-18,22,13,14.8,0
2017-05-19,19,13,11.5,0
2017-05-20,21,10,15.0,0
2017-05-21,24,8,15.0,0
2017-05-22,24,9,15.0,0
2017-05-23,26,10,15.0,0
2017-05-24,27,12,15.0,0
2017-05-25,23,13,14.3,0
2017-05-18,22,13,14.8,0
2017-05-19,19,13,11.5,0
2017-05-20,21,10,15.0,0
2017-05-21,24,8,15.0,0
2017-05-22,24,9,15.0,0
2017-05-23,26,10,15.0,0
2017-05-24,27,12,15.0,0
2017-05-25,23,13,14.3,0
2017-05-26,23,14,13.8,0
2017-05-19,19,13,11.5,0
2017-05-20,21,10,15.0,0
2017-05-21,24,8,15.0,0
2017-05-22,24,9,15.0,0
2017-05-23,26,10,15.0,0
2017-05-24,27,12,15.0,0
2017-05-25,23,13,14.3,0
2017-05-26,23,14,13.8,0
2017-05-27,26,14,13.8,0
2017-05-20,21,10,15.0,0
2017-05-21,24,8,15.0,0
2017-05-22,24,9,15.0,0
2017-05-23,26,10,15.0,0
2017-05-24,27,12,15.0,0
2017-05-25,23,13,14.3,0
2017-05-26,23,14,13.8,0
2017-05-27,26,14,13.8,0
2017-05-28,27,13,15.0,0
2017-05-21,24,8,15.0,0
2017-05-22,24,9,15.0,0
2017-05-23,26,10,15.0,0
2017-05-24,27,12,15.0,0
2017-05-25,23,13,14.3,0
2017-05-26,23,14,13.8,0
2017-05-27,26,14,13.8,0
2017-05-28,27,13,15.0,0
2017-05-29,28,14,15.0,0
2017-05-22,24,9,15.0,0
2017-05-23,26,10,15.0,0
2017-05-24,27,12,15.0,0
2017-05-25,23,13,14.3,0
2017-05-26,23,14,13.8,0
2017-05-27,26,14,13.8,0
2017-05-28,27,13,15.0,0
2017-05-29,28,14,15.0,0
2017-05-30,28,15,15.0,0
2017-05-23,26,10,15.0,0
2017-05-24,27,12,15.0,0
2017-05-25,23,13,14.3,0
2017-05-26,23,14,13.8,0
2017-05-27,26,14,13.8,0
2017-05-28,27,13,15.0,0
2017-05-29,28,14,15.0,0
2017-05-30,28,15,15.0,0
2017-05-31,27,16,15.7,0
2017-05-24,27,12,15.0,0
2017-05-25,23,13,14.3,0
2017-05-26,23,14,13.8,0
2017-05-27,26,14,13.8,0
2017-05-28,27,13,15.0,0
2017-05-29,28,14,15.0,0
2017-05-30,28,15,15.0,0
2017-05-31,27,16,15.7,0
2017-06-01,27,14,15.7,0
2017-05-25,23,13,14.3,0
2017-05-26,23,14,13.8,0
2017-05-27,26,14,13.8,0
2017-05-28,27,13,15.0,0
2017-05-29,28,14,15.0,0
2017-05-30,28,15,15.0,0
2017-05-31,27,16,15.7,0
2017-06-01,27,14,15.7,0
2017-06-02,27,14,15.7,0
2017-05-26,23,14,13.8,0
2017-05-27,26,14,13.8,0
2017-05-28,27,13,15.0,0
2017-05-29,28,14,15.0,0
2017-05-30,28,15,15.0,0
2017-05-31,27,16,15.7,0
2017-06-01,27,14,15.7,0
2017-06-02,27,14,15.7,0
2017-06-03,27,13,15.7,0
2017-05-27,26,14,13.8,0
2017-05-28,27,13,15.0,0
2017-05-29,28,14,15.0,0
2017-05-30,28,15,15.0,0
2017-05-31,27,16,15.7,0
2017-06-01,27,14,15.7,0
2017-06-02,27,14,15.7,0
2017-06-03,27,13,15.7,0
2017-06-04,25,15,15.0,0
2017-05-28,27,13,15.0,0
2017-05-29,28,14,15.0,0
2017-05-30,28,15,15.0,0
2017-05-31,27,16,15.7,0
2017-06-01,27,14,15.7,0
2017-06-02,27,14,15.7,0
2017-06-03,27,13,15.7,0
2017-06-04,25,15,15.0,0
2017-06-05,22,15,12.8,0
2017-05-29,28,14,15.0,0
2017-05-30,28,15,15.0,0
2017-05-31,27,16,15.7,0
2017-06-01,27,14,15.7,0
2017-06-02,27,14,15.7,0
2017-06-03,27,13,15.7,0
2017-06-04,25,15,15.0,0
2017-06-05,22,15,12.8,0
2017-06-06,22,14,12.5,0
2017-05-30,28,15,15.0,0
2017-05-31,27,16,15.7,0
2017-06-01,27,14,15.7,0
2017-06-02,27,14,15.7,0
2017-06-03,27,13,15.7,0
2017-06-04,25,15,15.0,0
2017-06-05,22,15,12.8,0
2017-06-06,22,14,12.5,0
2017-06-07,24,10,15.7,0
2017-05-31,27,16,15.7,0
2017-06-01,27,14,15.7,0
2017-06-02,27,14,15.7,0
2017-06-03,27,13,15.7,0
2017-06-04,25,15,15.0,0
2017-06-05,22,15,12.8,0
2017-06-06,22,14,12.5,0
2017-06-07,24,10,15.7,0
2017-06-08,24,11,15.8,0
2017-06-01,27,14,15.7,0
2017-06-02,27,14,15.7,0
2017-06-03,27,13,15.7,0
2017-06-04,25,15,15.0,0
2017-06-05,22,15,12.8,0
2017-06-06,22,14,12.5,0
2017-06-07,24,10,15.7,0
2017-06-08,24,11,15.8,0
2017-06-09,25,10,15.8,0
2017-06-02,27,14,15.7,0
2017-06-03,27,13,15.7,0
2017-06-04,25,15,15.0,0
2017-06-05,22,15,12.8,0
2017-06-06,22,14,12.5,0
2017-06-07,24,10,15.7,0
2017-06-08,24,11,15.8,0
2017-06-09,25,10,15.8,0
2017-06-10,27,12,15.8,0
2017-06-03,27,13,15.7,0
2017-06-04,25,15,15.0,0
2017-06-05,22,15,12.8,0
2017-06-06,22,14,12.5,0
2017-06-07,24,10,15.7,0
2017-06-08,24,11,15.8,0
2017-06-09,25,10,15.8,0
2017-06-10,27,12,15.8,0
2017-06-11,27,14,15.8,0
2017-06-04,25,15,15.0,0
2017-06-05,22,15,12.8,0
2017-06-06,22,14,12.5,0
2017-06-07,24,10,15.7,0
2017-06-08,24,11,15.8,0
2017-06-09,25,10,15.8,0
2017-06-10,27,12,15.8,0
2017-06-11,27,14,15.8,0
2017-06-12,29,15,15.8,0
2017-06-05,22,15,12.8,0
2017-06-06,22,14,12.5,0
2017-06-07,24,10,15.7,0
2017-06-08,24,11,15.8,0
2017-06-09,25,10,15.8,0
2017-06-10,27,12,15.8,0
2017-06-11,27,14,15.8,0
2017-06-12,29,15,15.8,0
2017-06-13,30,16,15.8,0
2017-06-06,22,14,12.5,0
2017-06-07,24,10,15.7,0
2017-06-08,24,11,15.8,0
2017-06-09,25,10,15.8,0
2017-06-10,27,12,15.8,0
2017-06-11,27,14,15.8,0
2017-06-12,29,15,15.8,0
2017-06-13,30,16,15.8,0
2017-06-14,29,18,15.0,0
2017-06-07,24,10,15.7,0
2017-06-08,24,11,15.8,0
2017-06-09,25,10,15.8,0
2017-06-10,27,12,15.8,0
2017-06-11,27,14,15.8,0
2017-06-12,29,15,15.8,0
2017-06-13,30,16,15.8,0
2017-06-14,29,18,15.0,0
2017-06-15,28,16,14.5,0
2017-06-08,24,11,15.8,0
2017-06-09,25,10,15.8,0
2017-06-10,27,12,15.8,0
2017-06-11,27,14,15.8,0
2017-06-12,29,15,15.8,0
2017-06-13,30,16,15.8,0
2017-06-14,29,18,15.0,0
2017-06-15,28,16,14.5,0
2017-06-16,31,17,15.5,0
2017-06-09,25,10,15.8,0
2017-06-10,27,12,15.8,0
2017-06-11,27,14,15.8,0
2017-06-12,29,15,15.8,0
2017-06-13,30,16,15.8,0
2017-06-14,29,18,15.0,0
2017-06-15,28,16,14.5,0
2017-06-16,31,17,15.5,0
2017-06-17,29,16,14.5,0
2017-06-10,27,12,15.8,0
2017-06-11,27,14,15.8,0
2017-06-12,29,15,15.8,0
2017-06-13,30,16,15.8,0
2017-06-14,29,18,15.0,0
2017-06-15,28,16,14.5,0
2017-06-16,31,17,15.5,0
2017-06-17,29,16,14.5,0
2017-06-18,25,16,15.8,0
2017-06-11,27,14,15.8,0
2017-06-12,29,15,15.8,0
2017-06-13,30,16,15.8,0
2017-06-14,29,18,15.0,0
2017-06-15,28,16,14.5,0
2017-06-16,31,17,15.5,0
2017-06-17,29,16,14.5,0
2017-06-18,25,16,15.8,0
2017-06-19,28,15,15.8,0
2017-06-12,29,15,15.8,0
2017-06-13,30,16,15.8,0
2017-06-14,29,18,15.0,0
2017-06-15,28,16,14.5,0
2017-06-16,31,17,15.5,0
2017-06-17,29,16,14.5,0
2017-06-18,25,16,15.8,0
2017-06-19,28,15,15.8,0
2017-06-20,29,15,15.8,0
2017-06-13,30,16,15.8,0
2017-06-14,29,18,15.0,0
2017-06-15,28,16,14.5,0
2017-06-16,31,17,15.5,0
2017-06-17,29,16,14.5,0
2017-06-18,25,16,15.8,0
2017-06-19,28,15,15.8,0
2017-06-20,29,15,15.8,0
2017-06-21,31,17,15.8,0
2017-06-14,29,18,15.0,0
2017-06-15,28,16,14.5,0
2017-06-16,31,17,15.5,0
2017-06-17,29,16,14.5,0
2017-06-18,25,16,15.8,0
2017-06-19,28,15,15.8,0
2017-06-20,29,15,15.8,0
2017-06-21,31,17,15.8,0
2017-06-22,31,17,15.8,0
2017-06-15,28,16,14.5,0
2017-06-16,31,17,15.5,0
2017-06-17,29,16,14.5,0
2017-06-18,25,16,15.8,0
2017-06-19,28,15,15.8,0
2017-06-20,29,15,15.8,0
2017-06-21,31,17,15.8,0
2017-06-22,31,17,15.8,0
2017-06-23,31,18,15.8,0
2017-06-16,31,17,15.5,0
2017-06-17,29,16,14.5,0
2017-06-18,25,16,15.8,0
2017-06-19,28,15,15.8,0
2017-06-20,29,15,15.8,0
2017-06-21,31,17,15.8,0
2017-06-22,31,17,15.8,0
2017-06-23,31,18,15.8,0
2017-06-24,31,18,15.8,0
2017-06-17,29,16,14.5,0
2017-06-18,25,16,15.8,0
2017-06-19,28,15,15.8,0
2017-06-20,29,15,15.8,0
2017-06-21,31,17,15.8,0
2017-06-22,31,17,15.8,0
2017-06-23,31,18,15.8,0
2017-06-24,31,18,15.8,0
2017-06-25,26,18,13.3,0
2017-06-18,25,16,15.8,0
2017-06-19,28,15,15.8,0
2017-06-20,29,15,15.8,0
2017-06-21,31,17,15.8,0
2017-06-22,31,17,15.8,0
2017-06-23,31,18,15.8,0
2017-06-24,31,18,15.8,0
2017-06-25,26,18,13.3,0
2017-06-26,27,15,15.3,0
2017-06-19,28,15,15.8,0
2017-06-20,29,15,15.8,0
2017-06-21,31,17,15.8,0
2017-06-22,31,17,15.8,0
2017-06-23,31,18,15.8,0
2017-06-24,31,18,15.8,0
2017-06-25,26,18,13.3,0
2017-06-26,27,15,15.3,0
2017-06-27,27,17,14.5,0
2017-06-20,29,15,15.8,0
2017-06-21,31,17,15.8,0
2017-06-22,31,17,15.8,0
2017-06-23,31,18,15.8,0
2017-06-24,31,18,15.8,0
2017-06-25,26,18,13.3,0
2017-06-26,27,15,15.3,0
2017-06-27,27,17,14.5,0
2017-06-28,23,16,12.0,0
2017-06-21,31,17,15.8,0
2017-06-22,31,17,15.8,0
2017-06-23,31,18,15.8,0
2017-06-24,31,18,15.8,0
2017-06-25,26,18,13.3,0
2017-06-26,27,15,15.3,0
2017-06-27,27,17,14.5,0
2017-06-28,23,16,12.0,0
